datetime,charging_mw,discharging_mw,net_output_mw
2024-01-17 05:00:00+00:00,-6947.723,98.154,-6849.57
2024-01-17 06:00:00+00:00,-8445.272,43.339,-8401.932
2024-01-17 07:00:00+00:00,-5888.646,554.5409999999999,-5334.105
2024-01-17 08:00:00+00:00,-4028.171,320.537,-3707.633
2024-01-17 09:00:00+00:00,-2130.4700000000003,314.882,-1815.588
2024-01-17 10:00:00+00:00,-1893.401,297.383,-1596.018
2024-01-17 11:00:00+00:00,-1390.676,940.1279999999999,-450.547
2024-01-17 12:00:00+00:00,-783.581,1289.294,505.712
2024-01-17 13:00:00+00:00,-284.489,2164.308,1879.819
2024-01-17 14:00:00+00:00,-521.842,2715.7329999999997,2193.8940000000002
2024-01-17 15:00:00+00:00,-2054.397,1664.129,-390.269
2024-01-17 16:00:00+00:00,-2387.2309999999998,604.024,-1783.205
2024-01-17 17:00:00+00:00,-3025.903,173.328,-2852.5769999999998
2024-01-17 18:00:00+00:00,-3008.779,305.323,-2703.455
2024-01-17 19:00:00+00:00,-1209.811,1171.264,-38.54899999999999
2024-01-17 20:00:00+00:00,-1438.701,849.292,-589.408
2024-01-17 21:00:00+00:00,-1261.741,718.3109999999999,-543.4300000000001
2024-01-17 22:00:00+00:00,-837.392,589.909,-247.484
2024-01-17 23:00:00+00:00,-306.923,2409.836,2102.912
2024-01-18 00:00:00+00:00,-334.365,3024.926,2690.56
2024-01-18 01:00:00+00:00,-926.85,1710.867,784.015
2024-01-18 02:00:00+00:00,-1700.044,914.287,-785.759
